episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
138,62,WIPE,4650,0.93,0,-210.53,-169.72,-186.42,-224.05,-221.12,10,0,0,0,1,0,0,0,0,11.7
139,24,TIMEOUT,5000,1.0,0,-45.963,-70.37,-48.02,-39.4,-50.47,0,0,0,75,0,0,0,0,0,11.8
140,20,TIMEOUT,5000,1.0,0,-49.717,-73.02,-57.62,-44.16,-47.37,0,0,0,40,1,0,0,0,0,11.9
141,45,TIMEOUT,4710,0.942,0,-56.843,-28.32,-29.17,-70.14,-71.22,10,0,0,0,2,0,0,0,0,12.0
142,34,TIMEOUT,4810,0.962,0,-53.573,-40.02,-50.27,-43.48,-66.97,0,0,0,38,3,0,0,0,0,12.1
143,46,TIMEOUT,4180,0.836,0,-56.63,51.23,-71.57,-48.35,-49.97,0,0,15,40,5,0,0,0,0,12.3
144,48,TIMEOUT,4285,0.857,0,-53.71,38.18,-73.62,-41.99,-45.52,0,0,0,40,5,0,0,0,0,12.4
145,27,TIMEOUT,4690,0.938,0,-52.677,-25.02,-43.12,-63.54,-51.37,0,0,0,40,3,0,0,0,0,12.6
146,21,TIMEOUT,5000,1.0,0,-55.293,-72.47,-64.17,-47.84,-53.87,0,0,0,40,3,0,0,0,0,12.6
147,17,TIMEOUT,4935,0.987,0,-54.623,-60.62,-43.32,-70.03,-50.52,0,0,0,0,3,0,0,0,0,12.6
148,15,TIMEOUT,5000,1.0,0,-57.03,-71.47,-57.42,-66.45,-47.22,0,0,0,40,3,0,0,0,0,12.7
149,19,TIMEOUT,4735,0.947,0,-62.58,-34.47,-48.02,-69.55,-70.17,0,0,15,0,1,0,0,0,0,12.7
150,45,TIMEOUT,4395,0.879,0,-48.237,21.83,-44.62,-42.42,-57.67,0,15,0,40,2,0,0,0,0,12.9
151,46,TIMEOUT,4250,0.85,0,-55.817,43.48,-68.07,-46.66,-52.72,0,0,0,40,2,0,0,0,0,13.0
152,17,TIMEOUT,4780,0.956,0,-58.777,-37.47,-34.42,-71.34,-70.57,0,0,0,0,0,0,0,0,0,13.1
153,39,TIMEOUT,4639,0.9278,0,-53.463,-19.17,-57.87,-33.55,-68.97,0,0,15,115,4,0,0,0,0,13.2
154,20,TIMEOUT,5000,1.0,0,-56.147,-70.77,-46.32,-70.5,-51.62,0,0,0,0,1,0,0,0,0,13.2
155,49,WIPE,4660,0.932,0,-207.807,-165.92,-198.42,-206.08,-218.92,0,0,0,80,1,0,0,0,0,13.3
156,19,TIMEOUT,5000,1.0,0,-60.073,-71.47,-58.72,-72.08,-49.42,0,0,0,0,1,0,0,0,0,13.4
157,12,TIMEOUT,5000,1.0,0,-57.833,-71.27,-52.52,-71.76,-49.22,0,0,0,0,2,0,0,0,0,13.5
158,12,TIMEOUT,4985,0.997,0,-46.667,-71.37,-44.27,-44.91,-50.82,0,15,0,40,0,0,0,0,0,13.5
159,24,TIMEOUT,4550,0.91,0,-44.87,-10.57,-44.22,-43.52,-46.87,0,15,30,40,2,0,0,0,0,13.6
160,20,TIMEOUT,5000,1.0,0,-58.903,-70.82,-55.72,-66.57,-54.42,0,0,0,40,1,0,0,0,0,13.6
161,16,TIMEOUT,4685,0.937,0,-50.61,-25.92,-49.17,-49.44,-53.22,0,5,0,0,3,0,0,0,0,13.7
162,18,TIMEOUT,4685,0.937,0,-55.06,-25.92,-47.52,-43.89,-73.77,0,5,0,40,2,0,0,0,0,13.7
163,16,TIMEOUT,5000,1.0,0,-57.46,-71.17,-56.07,-66.19,-50.12,0,0,0,40,3,0,0,0,0,13.8
164,21,TIMEOUT,4854,0.9708,0,-61.3,-50.37,-62.27,-69.76,-51.87,0,0,0,0,4,0,0,0,0,13.8
